Time,Signal,MaxFrequency
0.0,0.0,10.0
0.001,0.09420127860744167,10.0
0.002,0.18812375309361762,10.0
0.003,0.2814896279042389,10.0
0.004,0.37402312072915905,10.0
0.005,0.4654514594151783,10.0
0.006,0.5555058672704026,10.0
0.007,0.6439225329616152,10.0
0.008,0.7304435612665701,10.0
0.009000000000000001,0.8148179010182259,10.0
0.01,0.8968022466674206,10.0
0.011,0.976161909993981,10.0
0.012,1.0526716586133666,10.0
0.013000000000000001,1.1261165180561923,10.0
0.014,1.196292534340862,10.0
0.015,1.2630074941144942,10.0
0.016,1.3260815996037305,10.0
0.017,1.385348095794235,10.0
0.018000000000000002,1.4406538474450161,10.0
0.019,1.491859863740382,10.0
0.02,1.5388417685876266,10.0
0.021,1.5814902147816077,10.0
0.022,1.6197112404773781,10.0
0.023,1.6534265666381298,10.0
0.024,1.6825738343569603,10.0
0.025,1.7071067811865475,10.0
0.026000000000000002,1.7269953558496831,10.0
0.027,1.7422257709449374,10.0
0.028,1.7528004935044779,10.0
0.029,1.7587381735043215,10.0
0.03,1.760073510670101,10.0
0.031,1.7568570601628133,10.0
0.032,1.7491549779680344,10.0
0.033,1.7370487070478071,10.0
0.034,1.7206346055458788,10.0
0.035,1.7000235185633152,10.0
0.036000000000000004,1.6753402952418088,10.0
0.037,1.6467232531053928,10.0
0.038,1.61432359181694,10.0
0.039,1.5783047587029153,10.0
0.04,1.5388417685876268,10.0
0.041,1.4961204806559398,10.0
0.042,1.4503368352303463,10.0
0.043000000000000003,1.4016960535038199,10.0
0.044,1.3504118034133668,10.0
0.045,1.2967053349700852,10.0
0.046,1.2408045884793326,10.0
0.047,1.1829432791888046,10.0
0.048,1.1233599619925756,10.0
0.049,1.0622970798950453,10.0
0.05,1.0000000000000002,10.0
0.051000000000000004,0.9367160408364182,10.0
0.052000000000000005,0.8726934948639673,10.0
0.053,0.8081806500173556,10.0
0.054,0.7434248141496234,10.0
0.055,0.6786713462201905,10.0
0.056,0.6141626980440108,10.0
0.057,0.5501374703736748,10.0
0.058,0.4868294870269157,10.0
0.059000000000000004,0.4244668906979463,10.0
0.06,0.3632712640026806,10.0
0.061,0.3034567792055358,10.0
0.062,0.24522937995956273,10.0
0.063,0.18878599826256992,10.0
0.064,0.1343138096902301,10.0
0.065,0.08198952981342056,10.0
0.066,0.031978754541848176,10.0
0.067,-0.01556465303991994,10.0
0.068,-0.060499126964004835,10.0
0.069,-0.10269591161368974,10.0
0.07,-0.14203952192020608,10.0
0.07100000000000001,-0.17842814875294088,10.0
0.07200000000000001,-0.21177400795289947,10.0
0.073,-0.24200363168401817,10.0
0.074,-0.2690581010068598,10.0
0.075,-0.2928932188134524,10.0
0.076,-0.3134796224995827,10.0
0.077,-0.33080283599082605,10.0
0.078,-0.34486326097999886,10.0
0.079,-0.3556761074756547,10.0
0.08,-0.3632712640026804,10.0
0.081,-0.36769310803612076,10.0
0.082,-0.3690002574870229,10.0
0.083,-0.36726526429349227,10.0
0.084,-0.36257425140029975,10.0
0.085,-0.3550264946354007,10.0
0.08600000000000001,-0.34473395121071654,10.0
0.08700000000000001,-0.33182073678663093,10.0
0.088,-0.3164225532440108,10.0
0.089,-0.29868606950339854,10.0
0.09,-0.27876825791752585,10.0
0.091,-0.25683568893976755,10.0
0.092,-0.2330637869368605,10.0
0.093,-0.20763605016853023,10.0
0.094,-0.1807432380989533,10.0
0.095,-0.1525825293347167,10.0
0.096,-0.1233566536005504,10.0
0.097,-0.09327300126721033,10.0
0.098,-0.06254271403499106,10.0
0.099,-0.031379760451185026,10.0
