Time,Signal,MaxFrequency
0.0,1.0,30.0
0.001,0.9822872507286887,30.0
0.002,0.9297764858882515,30.0
0.003,0.8443279255020152,30.0
0.004,0.7289686274214114,30.0
0.005,0.5877852522924732,30.0
0.006,0.4257792915650729,30.0
0.007,0.24868988716485524,30.0
0.008,0.06279051952931358,30.0
0.009000000000000001,-0.12533323356430429,30.0
0.01,-0.3090169943749473,30.0
0.011,-0.481753674101715,30.0
0.012,-0.6374239897486896,30.0
0.013000000000000001,-0.7705132427757894,30.0
0.014,-0.8763066800438631,30.0
0.015,-0.9510565162951535,30.0
0.016,-0.9921147013144778,30.0
0.017,-0.9980267284282716,30.0
0.018000000000000002,-0.9685831611286311,30.0
0.019,-0.9048270524660199,30.0
0.02,-0.8090169943749476,30.0
0.021,-0.684547105928689,30.0
0.022,-0.5358267949789971,30.0
0.023,-0.3681245526846787,30.0
0.024,-0.18738131458572468,30.0
0.025,-2.4492935982947064e-16,30.0
0.026000000000000002,0.1873813145857242,30.0
0.027,0.36812455268467736,30.0
0.028,0.535826794978996,30.0
0.029,0.6845471059286886,30.0
0.03,0.8090169943749468,30.0
0.031,0.9048270524660194,30.0
0.032,0.968583161128631,30.0
0.033,0.9980267284282716,30.0
0.034,0.9921147013144779,30.0
0.035,0.9510565162951536,30.0
0.036000000000000004,0.8763066800438634,30.0
0.037,0.7705132427757908,30.0
0.038,0.6374239897486897,30.0
0.039,0.4817536741017162,30.0
0.04,0.3090169943749478,30.0
0.041,0.1253332335643039,30.0
0.042,-0.06279051952931265,30.0
0.043000000000000003,-0.24868988716485477,30.0
0.044,-0.42577929156507166,30.0
0.045,-0.5877852522924714,30.0
0.046,-0.7289686274214106,30.0
0.047,-0.8443279255020146,30.0
0.048,-0.9297764858882513,30.0
0.049,-0.9822872507286885,30.0
0.05,-1.0,30.0
0.051000000000000004,-0.9822872507286886,30.0
0.052000000000000005,-0.9297764858882517,30.0
0.053,-0.8443279255020161,30.0
0.054,-0.7289686274214123,30.0
0.055,-0.5877852522924735,30.0
0.056,-0.42577929156507405,30.0
0.057,-0.2486898871648556,30.0
0.058,-0.06279051952931351,30.0
0.059000000000000004,0.12533323356430304,30.0
0.06,0.30901699437494523,30.0
0.061,0.4817536741017139,30.0
0.062,0.6374239897486891,30.0
0.063,0.770513242775788,30.0
0.064,0.876306680043863,30.0
0.065,0.9510565162951534,30.0
0.066,0.9921147013144777,30.0
0.067,0.9980267284282717,30.0
0.068,0.9685831611286312,30.0
0.069,0.9048270524660201,30.0
0.07,0.8090169943749478,30.0
0.07100000000000001,0.6845471059286886,30.0
0.07200000000000001,0.5358267949789959,30.0
0.073,0.36812455268467986,30.0
0.074,0.18738131458572765,30.0
0.075,2.388680238973927e-15,30.0
0.076,-0.18738131458572296,30.0
0.077,-0.3681245526846754,30.0
0.078,-0.5358267949789933,30.0
0.079,-0.6845471059286876,30.0
0.08,-0.8090169943749481,30.0
0.081,-0.904827052466018,30.0
0.082,-0.9685831611286309,30.0
0.083,-0.9980267284282717,30.0
0.084,-0.9921147013144782,30.0
0.085,-0.9510565162951538,30.0
0.08600000000000001,-0.8763066800438627,30.0
0.08700000000000001,-0.770513242775791,30.0
0.088,-0.63742398974869,30.0
0.089,-0.48175367410171965,30.0
0.09,-0.3090169943749498,30.0
0.091,-0.12533323356430426,30.0
0.092,0.06279051952930874,30.0
0.093,0.24868988716485269,30.0
0.094,0.42577929156507294,30.0
0.095,0.5877852522924696,30.0
0.096,0.7289686274214102,30.0
0.097,0.8443279255020154,30.0
0.098,0.9297764858882499,30.0
0.099,0.9822872507286884,30.0
0.1,1.0,30.0
0.101,0.9822872507286894,30.0
0.10200000000000001,0.9297764858882518,30.0
0.10300000000000001,0.8443279255020144,30.0
0.10400000000000001,0.7289686274214138,30.0
0.105,0.5877852522924738,30.0
0.106,0.4257792915650776,30.0
0.107,0.24868988716485768,30.0
0.108,0.06279051952931387,30.0
0.109,-0.12533323356429915,30.0
0.11,-0.3090169943749449,30.0
0.111,-0.4817536741017151,30.0
0.112,-0.637423989748686,30.0
0.113,-0.7705132427757877,30.0
0.114,-0.8763066800438637,30.0
0.115,-0.9510565162951522,30.0
0.116,-0.9921147013144775,30.0
0.117,-0.9980267284282716,30.0
0.11800000000000001,-0.9685831611286322,30.0
0.11900000000000001,-0.9048270524660202,30.0
0.12,-0.8090169943749511,30.0
0.121,-0.6845471059286914,30.0
0.122,-0.5358267949789978,30.0
0.123,-0.36812455268468347,30.0
0.124,-0.18738131458572801,30.0
0.125,-9.797174393178826e-16,30.0
0.126,0.18738131458571913,30.0
0.127,0.36812455268467503,30.0
0.128,0.5358267949789961,30.0
0.129,0.6845471059286848,30.0
0.13,0.8090169943749458,30.0
0.131,0.9048270524660194,30.0
0.132,0.9685831611286299,30.0
0.133,0.9980267284282714,30.0
0.134,0.9921147013144779,30.0
0.135,0.951056516295155,30.0
0.136,0.8763066800438646,30.0
0.137,0.770513242775789,30.0
0.138,0.637423989748693,30.0
0.139,0.4817536741017168,30.0
0.14,0.3090169943749468,30.0
0.14100000000000001,0.12533323356430814,30.0
0.14200000000000002,-0.06279051952931192,30.0
0.14300000000000002,-0.24868988716485577,30.0
0.14400000000000002,-0.4257792915650758,30.0
0.145,-0.5877852522924665,30.0
0.146,-0.7289686274214076,30.0
0.147,-0.8443279255020133,30.0
0.148,-0.9297764858882485,30.0
0.149,-0.9822872507286876,30.0
0.15,-1.0,30.0
0.151,-0.98228725072869,30.0
0.152,-0.9297764858882532,30.0
0.153,-0.8443279255020165,30.0
0.154,-0.7289686274214165,30.0
0.155,-0.587785252292477,30.0
0.156,-0.4257792915650747,30.0
0.157,-0.2486898871648546,30.0
0.158,-0.06279051952931779,30.0
0.159,0.12533323356430232,30.0
0.16,0.30901699437494795,30.0
0.161,0.4817536741017117,30.0
0.162,0.6374239897486885,30.0
0.163,0.7705132427757898,30.0
0.164,0.8763066800438618,30.0
0.165,0.9510565162951532,30.0
0.166,0.992114701314478,30.0
0.167,0.9980267284282718,30.0
0.168,0.9685831611286314,30.0
0.169,0.9048270524660189,30.0
0.17,0.8090169943749492,30.0
0.171,0.6845471059286891,30.0
0.17200000000000001,0.535826794978995,30.0
0.17300000000000001,0.36812455268468053,30.0
0.17400000000000002,0.1873813145857249,30.0
0.17500000000000002,-2.2056021997384123e-15,30.0
0.176,-0.18738131458572224,30.0
0.177,-0.3681245526846714,30.0
0.178,-0.5358267949789928,30.0
0.179,-0.6845471059286872,30.0
0.18,-0.8090169943749435,30.0
0.181,-0.9048270524660177,30.0
0.182,-0.9685831611286306,30.0
